carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
12000,merc, GLS Class,2017,Automatic,12046,Diesel,150,37.2,3
12001,vw, Amarok,2017,Automatic,37683,Diesel,260,36.2,3
12004,merc, GLS Class,2019,Automatic,10000,Diesel,145,34,3
12013,skoda, Scala,2019,Manual,3257,Petrol,145,49.6,1
12017,audi, RS6,2015,Semi-Auto,20982,Petrol,325,29.4,4
12019,vauxhall, Combo Life,2020,Semi-Auto,1950,Petrol,145,40.4,1.2
12020,merc, GL Class,2016,Manual,26809,Diesel,20,67.3,2.1
12024,merc, CLS Class,2015,Semi-Auto,33087,Diesel,165,51.4,3
12027,toyota, Prius,2019,Automatic,4793,Hybrid,140,64.2,1.8
12028,vw, Amarok,2020,Automatic,5000,Diesel,265,33.6,3
12029,vw, Amarok,2019,Automatic,12023,Diesel,260,28.3,3
12034,vw, Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145,35.8,1.5
12040,audi, RS6,2016,Automatic,41854,Petrol,325,29.4,4
12041,merc, S Class,2018,Semi-Auto,39203,Diesel,145,52.3,3
12042,vw, Beetle,2016,Manual,35345,Diesel,30,61.4,2
12043,ford, Edge,2019,Automatic,10,Diesel,145,37.2,2
12046,vw, Amarok,2020,Automatic,10000,Diesel,265,27.7,3
12047,audi, RS3,2015,Automatic,15016,Petrol,300,34.9,2.5
12048,ford, Fusion,2008,Automatic,66000,Petrol,260,37.2,1.6
12049,bmw, 7 Series,2008,Automatic,70500,Diesel,325,35.3,3
12052,ford, Galaxy,2019,Semi-Auto,3763,Diesel,145,54.3,2
12054,toyota, Prius,2019,Automatic,4605,Hybrid,140,61.4,1.8
12056,merc, S Class,2015,Semi-Auto,34434,Diesel,200,48.7,3
12060,bmw, 6 Series,2017,Semi-Auto,3546,Diesel,145,48.7,3
12064,merc, S Class,2019,Semi-Auto,2500,Diesel,145,52.3,3
12069,hyundi, Santa Fe,2019,Semi-Auto,3920,Diesel,145,39.2,2.2
12071,bmw, M5,2019,Semi-Auto,2269,Petrol,145,24.1,4.4
12073,ford, Edge,2019,Automatic,21457,Diesel,145,37.2,2
12076,ford, Edge,2019,Automatic,10,Diesel,145,37.2,2
12081,ford, Grand C-MAX,2017,Manual,16509,Petrol,30,54.3,1
12082,bmw, 6 Series,2016,Automatic,37868,Diesel,160,51.4,3
12083,toyota, Prius,2017,Automatic,8943,Hybrid,0,94.1,1.8
12088,hyundi, IX20,2017,Manual,32663,Diesel,30,64.2,1.6
12091,toyota, Hilux,2016,Manual,28521,Diesel,260,40.4,2.4
12095,merc, GL Class,2018,Manual,15202,Petrol,145,48.7,1.6
12096,merc, X-CLASS,2018,Manual,14243,Diesel,260,37.2,2.3
12100,bmw, X4,2016,Semi-Auto,13005,Diesel,145,54.3,2
12102,ford, Puma,2020,Manual,1543,Petrol,145,50.4,1
12103,merc, S Class,2018,Semi-Auto,3796,Petrol,145,31.7,4
12116,ford, Edge,2019,Automatic,12607,Diesel,145,37.2,2
12119,bmw, X7,2019,Semi-Auto,5600,Diesel,150,33.6,3
